text,poster,views,comments,length,link,users
 Time for a Doom Break to Watch Something Awesome! Love IT!!! ,Karelin,546 Views,1 Comments,0:26,https://theworldwatch.com/videos/1619534/time-for-a-doom-break-to-watch-something-awesome-love-it/,"{' ': 'No link available', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/'}"
" China: Husband wakes Up, Kills Wife with Machete as a Witness Enters and Leaves ",The Seer,1.6K Views,8 Comments,2:23,https://theworldwatch.com/videos/1619537/china-husband-kills-wife-with-machete-as-a-witness-enters-and-leaves/,"{' ': 'No link available', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'MaxiePaddy': 'https://theworldwatch.com/members/871125/', 'pokahounted': 'https://theworldwatch.com/members/1323713/', '미키핀': 'https://theworldwatch.com/members/1322356/', 'OkieDokieSmokie': 'https://theworldwatch.com/members/1322341/', 'ScreaminMime': 'https://theworldwatch.com/members/1323106/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'Ampsy': 'https://theworldwatch.com/members/1322468/'}"
" Parana, Brazil: Man is Run Over by Motorcycle...then Run Over again by a Car ",Philligan,961 Views,2 Comments,1:31,https://theworldwatch.com/videos/1619542/parana-brazil-man-is-run-over-by-motorcycle-then-run-over-again-by-a-car/,"{' ': 'No link available', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/'}"
 Argentina: Speeding Motorcyclist is Cut in Half by Pole (See Aftermath) ,The Seer,3.2K Views,7 Comments,0:45,https://theworldwatch.com/videos/1619539/argentina-speeding-motorcyclist-is-cut-in-half-by-pole/,"{' ': 'No link available', 'SecondPrize': 'https://theworldwatch.com/members/1321762/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'Dippy': 'https://theworldwatch.com/members/1324004/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/', 'Jasondr91': 'https://theworldwatch.com/members/623283/', 'Pablocoo': 'https://theworldwatch.com/members/1322692/'}"
 Woman is Swept Away at Sea while with Her Partner ,sally,3.1K Views,6 Comments,1:14,https://theworldwatch.com/videos/1619543/woman-is-swept-away-at-sea-while-with-her-partner/,"{' ': 'No link available', 'pokahounted': 'https://theworldwatch.com/members/1323713/', 'jdrewrd': 'https://theworldwatch.com/members/1321662/', 'jfk66': 'https://theworldwatch.com/members/1321417/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/'}"
 Streamer is Knocked Out Live.. ,sally,2.9K Views,4 Comments,0:44,https://theworldwatch.com/videos/1619544/streamer-is-knocked-out-live/,"{' ': 'No link available', 'MUNCHIE9000': 'https://theworldwatch.com/members/1323150/', 'The_Carcass_Kid': 'https://theworldwatch.com/members/1323232/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'ScreaminMime': 'https://theworldwatch.com/members/1323106/'}"
 Colombia: Employee saves Everyone from Thug Robbing his Store (Aftermath Included) ,Philligan,1.6K Views,4 Comments,1:27,https://theworldwatch.com/videos/1619536/colombia-employee-saves-everyone-from-thug-robbing-his-store-aftermath-included/,"{' ': 'No link available', 'pokahounted': 'https://theworldwatch.com/members/1323713/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'Hungwhitemale4tw': 'https://theworldwatch.com/members/1323643/'}"
 What 18 yrs of Being Married to a Liberal Demon will Do To You ,Alex_Bones,3.8K Views,8 Comments,0:17,https://theworldwatch.com/videos/1619531/what-18yrs-of-being-married-to-a-liberal-demon-will-do-to-you/,"{' ': 'No link available', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'ThatWasFunny': 'https://theworldwatch.com/members/1324622/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'Superb Nipple Man': 'https://theworldwatch.com/members/1324276/', 'Ampsy': 'https://theworldwatch.com/members/1322468/', 'CheeseyVaginas': 'https://theworldwatch.com/members/1321984/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/'}"
 A Burger and a Bullet at this McDonald's ...Drive Thru Employee Came Strapped ,Karelin,2.2K Views,2 Comments,1:44,https://theworldwatch.com/videos/1619530/a-burger-and-a-bullet-at-this-mcdonald-s-drive-thru-employee-came-strapped/,"{' ': 'No link available', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/'}"
 OMG: She's Done This Before.... U Won't Believe it. ,Karelin,12K Views,14 Comments,0:32,https://theworldwatch.com/videos/1619532/omg-she-s-done-this-before-u-won-t-believe-it/,"{' ': 'No link available', 'GayeKundt': 'https://theworldwatch.com/members/1324010/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Tom Anderson': 'https://theworldwatch.com/members/130720/', 'AceCombat6842': 'https://theworldwatch.com/members/1321743/', 'whyohwhy': 'https://theworldwatch.com/members/1324179/', 'FlashyL': 'https://theworldwatch.com/members/965890/', 'MaxiePaddy': 'https://theworldwatch.com/members/871125/', 'Inaminute': 'https://theworldwatch.com/members/1322078/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/'}"
 Brazil: Man is shot dead in front of bar in Boa Vista ,sally,545 Views,1 Comments,0:46,https://theworldwatch.com/videos/1619541/brazil-man-is-shot-dead-in-front-of-bar-in-boa-vista/,"{' ': 'No link available', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/'}"
 Pakistan: Urdu..Man is Executed with IFnal Point Blank Shot from AK ,The Seer,1.2K Views,3 Comments,0:14,https://theworldwatch.com/videos/1619538/pakistan-urdu-man-is-executed-with-ifnal-point-blank-shot-from-ak/,"{' ': 'No link available', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/'}"
 Woman is run over by train after returning to the tracks to get her Cell Phone; se... ,The Seer,1.8K Views,4 Comments,0:38,https://theworldwatch.com/videos/1619540/woman-is-run-over-by-train-after-returning-to-the-tracks-to-get-her-cell-phone-see-video-strong-images/,"{' ': 'No link available', 'AceCombat6842': 'https://theworldwatch.com/members/1321743/', 'ScreaminMime': 'https://theworldwatch.com/members/1323106/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/', 'whyohwhy': 'https://theworldwatch.com/members/1324179/'}"
 Just a Chinaman Waving Stuck Underneath Truck ,sally,1.1K Views,3 Comments,0:13,https://theworldwatch.com/videos/1619535/just-a-chinaman-waving-stuck-underneath-truck/,"{' ': 'No link available', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'aang69': 'https://theworldwatch.com/members/1321241/', 'Dippy': 'https://theworldwatch.com/members/1324004/'}"
 Black Dude Tells Reporters Who Exactly Should Pay for Reparations to Black Americans ,Karelin,3.5K Views,19 Comments,1:00,https://theworldwatch.com/videos/1619512/black-dude-tells-reporters-who-exactly-should-pay-for-reparations-to-black-americans/,"{' ': 'No link available', 'fordmadion': 'https://theworldwatch.com/members/1324565/', 'Jasondr91': 'https://theworldwatch.com/members/623283/', 'Disknave': 'https://theworldwatch.com/members/1324535/', 'Motherfocker78': 'https://theworldwatch.com/members/1321367/', 'Inaminute': 'https://theworldwatch.com/members/1322078/', 'BigJimsWornOutTireSale': 'https://theworldwatch.com/members/1323681/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'Blindeel': 'https://theworldwatch.com/members/1324151/', 'Disgruntledcitizen15': 'https://theworldwatch.com/members/1322345/', 'southgate': 'https://theworldwatch.com/members/1322285/', 'Frerty': 'https://theworldwatch.com/members/1321479/', 'Crackedout69': 'https://theworldwatch.com/members/1324133/', 'EatMyShortsYo': 'https://theworldwatch.com/members/1322632/', 'TortureAndKillAllConspiracyCunts': 'https://theworldwatch.com/members/1321759/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/'}"
 Tranny KO... Oldie but Goodie. ,Ultraphonics,2.7K Views,6 Comments,0:26,https://theworldwatch.com/videos/1619528/old-but-gold/,"{' ': 'No link available', 'Charles Manson': 'https://theworldwatch.com/members/1321569/', 'Elwapito': 'https://theworldwatch.com/members/1324617/', 'Kunter-X': 'https://theworldwatch.com/members/1324168/', 'SouthParkBadGuy': 'https://theworldwatch.com/members/1324500/', 'ThatWasFunny': 'https://theworldwatch.com/members/1324622/'}"
 BackBending CONTORTION Catsuit ,HMG87,2.3K Views,11 Comments,1:57,https://theworldwatch.com/videos/1619523/backbending-contortion-catsuit/,"{' ': 'No link available', 'fordmadion': 'https://theworldwatch.com/members/1324565/', 'WonkasWilly': 'https://theworldwatch.com/members/1323250/', 'Jasondr91': 'https://theworldwatch.com/members/623283/', 'LordTorquemada': 'https://theworldwatch.com/members/1318226/', 'Inaminute': 'https://theworldwatch.com/members/1322078/', 'Naap51stang': 'https://theworldwatch.com/members/1323703/', 'Cripple': 'https://theworldwatch.com/members/1320263/', 'Hackintosh': 'https://theworldwatch.com/members/1319936/', 'KillerManJaro': 'https://theworldwatch.com/members/1324629/'}"
